"TICKER"|"METRIC"|"VALUE"
"WFM"|"PAY.RETIRE.QUAL"|"52"
"COH"|"PAY.RETIRE.QUAL"|"63"
"CHRW"|"PAY.RETIRE.QUAL"|"77"
"WYNN"|"PAY.RETIRE.QUAL"|"53"
"SCG"|"PAY.RETIRE.QUAL"|"81"
"CE"|"PAY.RETIRE.QUAL"|"82"
"BLL"|"PAY.RETIRE.QUAL"|"81"
"IFF"|"PAY.RETIRE.QUAL"|"84"
"FRC"|"PAY.RETIRE.QUAL"|"82"
"MAS"|"PAY.RETIRE.QUAL"|"69.92"
"HRS"|"PAY.RETIRE.QUAL"|"79"
"TXT"|"PAY.RETIRE.QUAL"|"75.42"
"CTAS"|"PAY.RETIRE.QUAL"|"61"
"LNC"|"PAY.RETIRE.QUAL"|"83"
"IRM"|"PAY.RETIRE.QUAL"|"68"
"MTD"|"PAY.RETIRE.QUAL"|"79"
"CNP"|"PAY.RETIRE.QUAL"|"81"
"MDVN"|"PAY.RETIRE.QUAL"|"84"
"XRX"|"PAY.RETIRE.QUAL"|"74.69"
"LKQ"|"PAY.RETIRE.QUAL"|"54"
"KEY"|"PAY.RETIRE.QUAL"|"77"
"NCLH"|"PAY.RETIRE.QUAL"|"63"
"VNTV"|"PAY.RETIRE.QUAL"|"74"
"HBI"|"PAY.RETIRE.QUAL"|"69"
"M"|"PAY.RETIRE.QUAL"|"54"
"LULU"|"PAY.RETIRE.QUAL"|NA
"FNF"|"PAY.RETIRE.QUAL"|"73"
"OKE"|"PAY.RETIRE.QUAL"|"77.68"
"CBG"|"PAY.RETIRE.QUAL"|"71"
"KSU"|"PAY.RETIRE.QUAL"|"65"
"WRK"|"PAY.RETIRE.QUAL"|"78.51"
"TSS"|"PAY.RETIRE.QUAL"|"72"
"IPG"|"PAY.RETIRE.QUAL"|"76"
"LEN"|"PAY.RETIRE.QUAL"|"75"
"TRIP"|"PAY.RETIRE.QUAL"|"79"
"KMX"|"PAY.RETIRE.QUAL"|"62"
"BBY"|"PAY.RETIRE.QUAL"|"55"
"WU"|"PAY.RETIRE.QUAL"|"83"
"SEE"|"PAY.RETIRE.QUAL"|"70.33"
"AKAM"|"PAY.RETIRE.QUAL"|"85"
"XL"|"PAY.RETIRE.QUAL"|"87"
"HOLX"|"PAY.RETIRE.QUAL"|"82"
"VRSN"|"PAY.RETIRE.QUAL"|"84"
"MOS"|"PAY.RETIRE.QUAL"|"84.31"
"COTY"|"PAY.RETIRE.QUAL"|"77"
"SNA"|"PAY.RETIRE.QUAL"|"71"
"JBHT"|"PAY.RETIRE.QUAL"|"61"
"LNT"|"PAY.RETIRE.QUAL"|"83"
"JNPR"|"PAY.RETIRE.QUAL"|"87"
"ALB"|"PAY.RETIRE.QUAL"|"87"
"EXPD"|"PAY.RETIRE.QUAL"|"70"
"INGR"|"PAY.RETIRE.QUAL"|"82.2"
"AMG"|"PAY.RETIRE.QUAL"|"85"
"TSO"|"PAY.RETIRE.QUAL"|"85.82"
"KORS"|"PAY.RETIRE.QUAL"|"54"
"CDK"|"PAY.RETIRE.QUAL"|NA
"BG"|"PAY.RETIRE.QUAL"|"74.19"
"DRI"|"PAY.RETIRE.QUAL"|"49"
"PNW"|"PAY.RETIRE.QUAL"|"80"
"FBHS"|"PAY.RETIRE.QUAL"|"74.71"
"VAL"|"PAY.RETIRE.QUAL"|"80.73"
"SRCL"|"PAY.RETIRE.QUAL"|"51.88"
"AR"|"PAY.RETIRE.QUAL"|"75"
"ACGL"|"PAY.RETIRE.QUAL"|"86"
"RMD"|"PAY.RETIRE.QUAL"|"80"
"LEA"|"PAY.RETIRE.QUAL"|"81.16"
"IT"|"PAY.RETIRE.QUAL"|"84"
"CNA"|"PAY.RETIRE.QUAL"|"81"
"AJG"|"PAY.RETIRE.QUAL"|"79"
"IMS"|"PAY.RETIRE.QUAL"|"81"
"RAD"|"PAY.RETIRE.QUAL"|"63.8"
"XYL"|"PAY.RETIRE.QUAL"|"78.37"
"ARMK"|"PAY.RETIRE.QUAL"|"56.83"
"SNI"|"PAY.RETIRE.QUAL"|"83"
"NI"|"PAY.RETIRE.QUAL"|"80"
"NFX"|"PAY.RETIRE.QUAL"|"85"
"UNM"|"PAY.RETIRE.QUAL"|"75"
"GRMN"|"PAY.RETIRE.QUAL"|"81"
"IDXX"|"PAY.RETIRE.QUAL"|"75"
"Y"|"PAY.RETIRE.QUAL"|"82.96"
"WR"|"PAY.RETIRE.QUAL"|"80"
"GAS"|"PAY.RETIRE.QUAL"|"78"
"VAR"|"PAY.RETIRE.QUAL"|"82"
"HOG"|"PAY.RETIRE.QUAL"|"78.53"
